2023-02-06 17:48:25+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:40:03+00:00, province: Hatay, district: None, country: TR
2023-02-06 17:39:48+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:38:07+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:36:18+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:35:36+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:34:30+00:00, province: İstanbul, district: İstanbul, country: GR
2023-02-06 17:29:59+00:00, province: Konya, district: None, country: TR
2023-02-06 17:26:28+00:00, province: Van, district: None, country: TR
2023-02-06 17:26:24+00:00, province: Bursa, district: None, country: TR
2023-02-06 17:23:50+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:23:27+00:00, province: Çanakkale, district: None, country: TR
2023-02-06 17:22:34+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:22:20+00:00, province: Erzurum, district: None, country: TR
2023-02-06 17:20:39+00:00, province: Konya, district: None, country: TR
2023-02-06 17:14:18+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:13:50+00:00, province: İzmir, district: None, country: TR
2023-02-06 17:13:43+00:00, province: Batı Azerbaycan Eyaleti, district: Hoy, country: IR
2023-02-06 17:12:21+00:00, province: Mersin, district: None, country: TR
2023-02-06 17:12:20+00:00, province: Van, district: None, country: TR
2023-02-06 17:12:15+00:00, province: Samsun, district: None, country: TR
2023-02-06 17:11:43+00:00, province: Ankara, district: None, country: TR
2023-02-06 17:11:05+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:11:04+00:00, province: Samsun, district: None, country: TR
2023-02-06 17:10:52+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 17:10:33+00:00, province: Bursa, district: None, country: TR
2023-02-06 17:09:30+00:00, province: Samsun, district: None, country: TR
2023-02-06 17:08:01+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 17:07:58+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:07:01+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:06:55+00:00, province: None, district: None, country: TR
